Time elapsed in seconds,Controlled Lighting Units Power Usage (moving),All Lighting Units Activated Usage,Controlled Lighting Units Power Usage (Standing still)
345.0454167,78.81995288,828.1906579,65.69852806
345.1681975,78.85442595,828.4853318,65.71935542
345.2912597,78.89391949,828.7806811,65.74017567
345.4147773,78.93533459,829.0747217,65.76059493
345.5365395,78.97739178,829.3693526,65.78537048
345.6400541,79.01399685,829.6177877,65.80586598
345.7567768,79.05466028,829.8979222,65.82625267
345.8716246,79.09725988,830.1711562,65.84660156
345.9845082,79.14061343,830.4420893,65.86760362
346.1033859,79.18552616,830.729784,65.89202207
346.2190197,79.22769999,831.0073051,65.91228473
346.3270384,79.26488097,831.26655,65.93342981
346.4349283,79.30288996,831.5254858,65.95427017
346.5433712,79.34049047,831.7857487,65.9785501
346.6648485,79.37780053,832.0772942,65.99853709
346.7756345,79.412064,832.3431806,66.02068753
346.8924962,79.45024012,832.6236487,66.03986837
347.0073868,79.48921703,832.8993862,66.06187576
347.1253599,79.53006278,833.1825216,66.08210969
347.2347,79.56156732,833.4449378,66.1033321
347.3349063,79.59210703,833.685433,66.12191384
347.4613624,79.63244443,833.9865278,66.14405465
347.5748195,79.67081933,834.2612246,66.16555659
347.6886098,79.70924727,834.5343214,66.18616722
347.7968628,79.74156737,834.7941286,66.20659051
347.9180698,79.77975866,835.0850254,66.22626538
348.0269972,79.81537684,835.3464511,66.24785586
348.1346819,79.85054568,835.6048944,66.26884197
348.2486231,79.88643169,835.8783533,66.28901414
348.3537025,79.91657083,836.1305438,66.30990194
348.4588166,79.94724865,836.3828177,66.33021722
348.5716523,79.97822022,836.6536234,66.35125011
348.6874115,80.00645504,836.9314454,66.37185978
348.7872308,80.02850473,837.1710118,66.3938431
348.8998805,80.05347153,837.441371,66.4152064
349.0147249,80.07623458,837.7169976,66.43623122
349.1286131,80.10184251,837.9903293,66.45702489
349.225405,80.12487276,838.2226298,66.48173245
349.3370266,80.15033481,838.4905217,66.50217001
349.4695733,80.18289661,838.8086338,66.52638977
349.570611,80.20764486,839.0511242,66.54775776
349.6873957,80.23845895,839.3314075,66.56838742
349.8040114,80.26986904,839.6112852,66.58955825
349.9127793,80.29921107,839.8723282,66.6103635
350.0217397,80.32913474,840.1338331,66.63421023
350.1371841,80.35904168,840.4108997,66.65571667
350.249085,80.38863979,840.6794618,66.67577075
350.3498866,80.41493245,840.9213857,66.69672368
350.468638,80.4427174,841.2039557,66.71736695
350.5726654,80.46630817,841.4560548,66.73818745
350.6919318,80.49216539,841.7422942,66.76070947
350.8007104,80.51808994,842.0033628,66.77968755
350.9146037,80.54651095,842.274305,66.80138274
351.0383767,80.57749956,842.5737619,66.82174831
351.1480619,80.6026209,842.8346148,66.8459542
351.2557842,80.63025347,843.0955399,66.86660726
351.3727215,80.66250728,843.3761894,66.88703465
351.4893732,80.69634075,843.6561535,66.90763719
351.5940151,80.72631808,843.9072941,66.92883706
351.6978928,80.75607821,844.1566006,66.95045555
351.8165177,80.78957814,844.4413003,66.9694922
351.9252467,80.81533961,844.6998451,66.99385277
352.0330019,80.84130787,844.9608624,67.01484471
352.1417882,80.86594203,845.2219495,67.03902202
352.2486449,80.89039582,845.4784056,67.05971005
352.3584003,80.91368052,845.7418186,67.08051187
352.483892,80.93860541,846.040596,67.10112203
352.5923451,80.96027875,846.3032861,67.12156881
352.7224405,80.9880347,846.615515,67.14234829
352.833336,81.01293725,846.8816642,67.16317717
352.9430837,81.03664117,847.1450587,67.18791873
353.0498215,81.06034761,847.4012294,67.20891897
353.1573159,81.08066518,847.659216,67.22972451
353.2624526,81.09905463,847.9115441,67.25053079
353.3671663,81.11692036,848.162857,67.27552638
353.4748861,81.13653667,848.4213845,67.29517255
353.5907312,81.15595312,848.6994127,67.31616853
353.7074915,81.17672639,848.9796374,67.3364398
353.8171126,81.19797487,849.2427281,67.36096627
353.9278242,81.22152629,849.5084359,67.38195718
354.0437997,81.24650721,849.7867771,67.4024132
354.1618648,81.27142066,850.0701334,67.42318786
354.2734227,81.29561263,850.3378723,67.44362679
354.4017001,81.32572226,850.6457381,67.46894561
354.5084119,81.34629075,850.9018464,67.48788773
354.6289616,81.37218796,851.1911657,67.50966053
354.7310761,81.39004369,851.4338388,67.53022403
354.8367944,81.41012733,851.6899644,67.5510447
354.9597484,81.43433536,851.985054,67.57147095
355.0766828,81.45632672,852.2656966,67.59606172
355.1791847,81.47266382,852.5117011,67.61651236
355.2972246,81.49209408,852.792594,67.63694728
355.4098418,81.51206127,853.0652782,67.6620318
355.5085359,81.5295849,853.2997414,67.68662839
355.6203136,81.54800846,853.5704105,67.7072977
355.7378044,81.56563592,853.8523884,67.73201639
355.8506328,81.58211388,854.1207749,67.7519483
355.9620509,81.5990964,854.39058,67.77625827
356.072118,81.61611987,854.654741,67.8006676
356.1872815,81.63436435,854.9287183,67.82224198
356.2907657,81.64852087,855.1794955,67.84267925
356.3986245,81.66516609,855.4383566,67.86346839
356.5102645,81.68598939,855.7062926,67.88428179
356.6338249,81.71276633,856.0028376,67.90867843
356.7474035,81.73763585,856.2730246,67.92950514
356.8654531,81.75915917,856.5587453,67.94949799
356.9863403,81.78448073,856.8488746,67.97087424
357.085052,81.80757233,857.0857826,67.99130266
357.194703,81.83305144,857.348945,68.01212041
357.3124601,81.86223,857.6315621,68.03272616
357.4172432,81.89041184,857.8830415,68.05317959
357.5347955,81.92451866,858.165167,68.07631585
357.6355573,81.94813185,858.4069954,68.09783893
357.751334,81.9736503,858.6848594,68.11905011
357.8802563,82.00109763,858.994273,68.13938042
357.9869228,82.02567408,859.2502726,68.16398424
358.0956543,82.05252458,859.5112282,68.18463324
358.2124091,82.08032252,859.7914397,68.2050778
358.3272052,82.10598296,860.0669503,68.22579366
358.436751,82.12977778,860.3298602,68.24649367
358.5445725,82.15370453,860.5886318,68.26710797
358.6503323,82.17431274,860.8424554,68.28808175
358.7692073,82.19636162,861.1277554,68.31247376
358.8769921,82.21519518,861.3864389,68.33346333
358.9810691,82.23379666,861.6362237,68.35805345
359.0977866,82.25498421,861.9163457,68.38233204
359.2004327,82.27363846,862.1626963,68.40295777
359.3070542,82.29145352,862.4185879,68.42705382
359.4119257,82.30801917,862.6702795,68.4480642
359.5315488,82.33016123,862.957375,68.47249478
359.6483835,82.35413601,863.2377782,68.49270661
359.7718968,82.38181233,863.5342102,68.51368394
359.8956882,82.4097048,863.8313095,68.53468355
359.9954698,82.43226168,864.0707854,68.55551926
360.1156334,82.46156059,864.359178,68.57600607
360.2350909,82.492714,864.645876,68.59770074
360.3455592,82.51790641,864.9109999,68.61862891
360.4564055,82.54470849,865.177031,68.64114615
360.573111,82.57376981,865.4571242,68.66478052
360.6888758,82.60314765,865.7349598,68.68646698
360.7886767,82.6277241,865.9744819,68.70756238
360.912557,82.65559125,866.2693908,68.73330263
361.0223718,82.68222871,866.5353502,68.75501476
361.1398779,82.71160043,866.8149312,68.77637529
361.2525165,82.73940704,867.0857616,68.79889987
361.3585992,82.76499783,867.3422959,68.8195642
361.4831376,82.79778011,867.6411881,68.83802319
361.5890899,82.828095,867.8954736,68.85847135
361.6986823,82.86115773,868.1560925,68.87984383
361.807484,82.89360418,868.4196194,68.9043778
361.9273871,82.92762184,868.7073869,68.92633873
362.0290017,82.95804466,868.9512619,68.94884085
362.1358819,82.99105906,869.2077744,68.96871377
362.2532905,83.02673524,869.489555,68.99407116
362.3503335,83.05351772,869.7224582,69.01238678
362.4643085,83.08357407,869.9959982,69.03451155
362.5746566,83.1126625,870.2608337,69.05533412
362.6834343,83.13989928,870.5195292,69.07686106
362.7964676,83.16621896,870.7931801,69.09766562
362.908336,83.19163684,871.0616642,69.11809447
363.0221913,83.21513884,871.334917,69.13573972
363.134566,83.23851085,871.6046162,69.15898249
363.2691167,83.27070824,871.9251362,69.17975246
363.3879139,83.29882779,872.2126512,69.2009535
363.5006919,83.32639804,872.4833184,69.22139792
363.6185521,83.35517806,872.7661829,69.2462411
363.7351752,83.38429119,873.0460783,69.26692626
363.8363642,83.41194651,873.2889319,69.28736203
363.9541877,83.44313682,873.5717083,69.30651471
364.0582569,83.47231581,873.8214744,69.33202173
364.1710204,83.50492277,874.0921068,69.35318668
364.2859115,83.53863485,874.3678454,69.37590286
364.3956895,83.57201071,874.6313126,69.39483195
364.5037471,83.60479043,874.8906509,69.41529928
364.6153212,83.63852926,875.1584287,69.43657875
364.7372861,83.67457612,875.4511445,69.46136306
364.848776,83.70618188,875.7187202,69.48235945
364.9556408,83.73661693,875.9751958,69.50357308
365.0542823,83.76204634,876.2119354,69.52454557
365.1711252,83.79053938,876.4923583,69.54370605
365.2753052,83.81255985,876.7423903,69.56583357
365.3813627,83.83249517,876.9969283,69.58715871
365.4991737,83.854868,877.2796747,69.6078904
365.6040462,83.87559039,877.5313687,69.62891736
365.7248076,83.89898336,877.8211961,69.65389511
365.844523,83.92314878,878.108513,69.67485511
365.9543125,83.94323992,878.3720078,69.69873176
366.069133,83.96489949,878.647577,69.7204407
366.1889147,83.98808512,878.9350531,69.74485675
366.2894049,84.00833267,879.1762296,69.76609321
366.4091729,84.03215198,879.4612711,69.78717953
366.5059884,84.05026872,879.69603,69.80882789
366.623808,84.0729332,879.978797,69.82960239
366.7546458,84.09904721,880.2928078,69.84967927
366.8562821,84.1202665,880.5367349,69.87125523
366.9719977,84.14350697,880.8144523,69.89119478
367.0742905,84.1636183,881.059955,69.91036299
367.1803916,84.18455559,881.3145977,69.93268828
367.2891141,84.20698383,881.5755317,69.95388826
367.4070257,84.2338012,881.8585195,69.9740863
367.5069908,84.25391895,882.0984358,69.99488466
367.6195105,84.27629162,882.368483,70.01492556
367.7283721,84.29650397,882.6297509,70.03573534
367.8381633,84.31796046,882.8908481,70.05578312
367.9449512,84.34177938,883.1495407,70.07663019
368.0707453,84.37268967,883.4514466,70.09682802
368.194307,84.40307586,883.7455939,70.11803336
368.3141742,84.43200305,884.0332742,70.14220769
368.4357789,84.46379023,884.3275272,70.1639417
368.5374906,84.4918797,884.5716353,70.18253228
368.6512607,84.52173929,884.8446835,70.20558092
368.7611666,84.54933989,885.1084577,70.22599523
368.8752802,84.57904545,885.3823303,70.24682487
368.9897269,84.60898083,885.6570024,70.26762292
369.1001053,84.63523153,885.9219106,70.28862214
369.2149403,84.66026008,886.1975146,70.30902531
369.3308466,84.68374215,886.4756897,70.32947434
369.4465438,84.70726255,886.753363,70.35010154
369.5632622,84.73153301,887.0334871,70.37120492
369.6641108,84.75057569,887.2755238,70.39169877
369.7819339,84.77183052,887.5582992,70.41607048
369.8848352,84.79060301,887.8052623,70.43652354
370.0012949,84.81340981,888.0847656,70.45750035
370.1209414,84.83784544,888.3719172,70.48249305
370.2337447,84.86082121,888.6402526,70.50701725
370.3485147,84.88272097,888.9180931,70.52820393
370.4452082,84.90253855,889.1501575,70.55264145
370.5591298,84.92650603,889.4235694,70.57417652
370.6733024,84.95010566,889.6975836,70.59596706
370.7837309,84.97162083,889.962612,70.61580983
370.8836002,84.99101376,890.1999017,70.63737914
371.0015699,85.01516067,890.4854256,70.65713218
371.1080109,85.03720946,890.7387348,70.68008476
371.2248807,85.06380314,891.0213715,70.70052733
371.3413502,85.09263818,891.3008983,70.72152985
371.4542116,85.12258204,891.5717657,70.74215256
371.5528185,85.15126804,891.8084222,70.76258685
371.666773,85.18682283,892.081913,70.78658474
371.7794317,85.21777879,892.3522939,70.80855758
371.8913274,85.24964572,892.6208436,70.82953908
371.9953142,85.28162102,892.8704119,70.85257205
372.1102749,85.3193021,893.1463176,70.87260079
372.2213483,85.35691701,893.4104921,70.8947685
372.3290667,85.39184198,893.6689968,70.91765951
372.4291003,85.42490876,893.9114986,70.93845051
372.5396057,85.46185446,894.1743089,70.96337604
372.6483775,85.49896942,894.4377638,70.98360863
372.7602998,85.52728022,894.7063774,71.0046681
372.8698862,85.55384917,894.9693847,71.0251453
372.9777355,85.57976309,895.228223,71.05000089
